Refs,Value,Footprint,Qty,DNP,Assembly Status,LCSC Part #,BOM Value
C1,10uF,easyedapro:C0805,1,,SMT,C15850,10µF ±10% 25V X5R
C2,10uF,easyedapro:C0805,1,,SMT,C15850,10µF ±10% 25V X5R
C3,100nF,easyedapro:C0805,1,,SMT,C49678,100nF ±10% 50V X7R
C4,47nF,easyedapro:C0805,1,,SMT,C1845663,47nF ±5% 50V X7R
C5,470uF,easyedapro:CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,1,,SMT,C2992611,"470µF ±20% 35V, 105°C"
C6,470uF,easyedapro:CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,1,,SMT,C2992611,"470µF ±20% 35V, 105°C"
C7,100nF,easyedapro:C0805,1,,SMT,C49678,100nF ±10% 50V X7R
C8,100nF,easyedapro:C0805,1,,SMT,C49678,100nF ±10% 50V X7R
C9,100nF,easyedapro:C0805,1,,SMT,C49678,100nF ±10% 50V X7R
C10,100nF,easyedapro:C0805,1,,SMT,C49678,100nF ±10% 50V X7R
C11,1uF,easyedapro:C0805,1,,SMT,C344178,1µF ±10% 50V X7R
C12,1uF,easyedapro:C0805,1,,SMT,C344178,1µF ±10% 50V X7R
C15,100nF,easyedapro:C0805,1,,SMT,C49678,100nF ±10% 50V X7R
C16,100nF,easyedapro:C0805,1,,SMT,C49678,100nF ±10% 50V X7R
C17,10nF,easyedapro:C0805,1,,SMT,C342877,10nF ±5% 50V C0G
C18,100nF,easyedapro:C0805,1,,SMT,C49678,100nF ±10% 50V X7R
C19,100nF,easyedapro:C0805,1,,SMT,C49678,100nF ±10% 50V X7R
C20,100nF,easyedapro:C0805,1,,SMT,C49678,100nF ±10% 50V X7R
C21,100nF,easyedapro:C0805,1,,SMT,C49678,100nF ±10% 50V X7R
C22,100nF,easyedapro:C0805,1,,SMT,C49678,100nF ±10% 50V X7R
C23,220nF,easyedapro:C0805,1,,SMT,C45359963,220nF ±10% 50V X7R
C24,4.7uF,easyedapro:C0805,1,,SMT,C380342,4.7µF ±10% 16V X5R
C25,1uF,easyedapro:C0805,1,,SMT,C344178,1µF ±10% 50V X7R
C26,100nF,easyedapro:C0805,1,,SMT,C49678,100nF ±10% 50V X7R
C27,10pF,easyedapro:C0805,1,,SMT,C157608,10pF ±5% 50V C0G
C28,1uF,easyedapro:C0805,1,,SMT,C344178,1µF ±10% 50V X7R
D1,SS56B,easyedapro:SMB_L4.3-W3.6-LS5.4-RD,1,,SMT,C14651,"SS56B, 60V 5A Schottky"
D2,SS56B,easyedapro:SMB_L4.3-W3.6-LS5.4-RD,1,,SMT,C14651,"SS56B, 60V 5A Schottky"
FB1,150R@100MHz,easyedapro:L0805,1,,SMT,C139474,"150Ω@100MHz, 600mA, DCR 0.25Ω"
FB2,150R@100MHz,easyedapro:L0805,1,,SMT,C139474,"150Ω@100MHz, 600mA, DCR 0.25Ω"
FB3,150R@100MHz,easyedapro:L0805,1,,SMT,C139474,"150Ω@100MHz, 600mA, DCR 0.25Ω"
J1,WAGO 2060 3P,easyedapro:CONN-SMD_2060-453,1,,SMT,C2765056,"WAGO 2060 3P, 4mm pitch"
J2,WAGO 2060 3P,easyedapro:CONN-SMD_2060-453,1,,SMT,C2765056,"WAGO 2060 3P, 4mm pitch"
J3,WAGO 2060 2P,easyedapro:CONN-SMD_2060-452,1,,SMT,C2765055,"WAGO 2060 2P, 4mm pitch"
J4,WAGO 2060 2P,easyedapro:CONN-SMD_2060-452,1,,SMT,C2765055,"WAGO 2060 2P, 4mm pitch"
J5,WAGO 2060 3P,easyedapro:CONN-SMD_2060-453,1,,SMT,C2765056,"WAGO 2060 3P, 4mm pitch"
J6,WAGO 2060 3P,easyedapro:CONN-SMD_2060-453,1,,SMT,C2765056,"WAGO 2060 3P, 4mm pitch"
J8,WAGO 2060 3P,easyedapro:CONN-SMD_2060-453,1,,SMT,C2765056,"WAGO 2060 3P, 4mm pitch"
J9,WAGO 2060 2P,easyedapro:CONN-SMD_2060-452,1,,SMT,C2765055,"WAGO 2060 2P, 4mm pitch"
J14,WAGO 2060 1P,easyedapro:CONN-SMD_L12.7-W3.9_2060-451-998-404,1,,SMT,C2765054,"WAGO 2060 1P, 4mm pitch"
R3,0R,easyedapro:R0805,1,,SMT,C17477,0Ω 125mW
R4,0R,easyedapro:R0805,1,,SMT,C17477,0Ω 125mW
R5,100R,easyedapro:R0805,1,,SMT,C2988937,100Ω ±1% 125mW
R6,0R,easyedapro:R0805,1,,SMT,C17477,0Ω 125mW
R7,57.6kR,easyedapro:R0805,1,,SMT,C5153977,57.6kΩ ±1% 125mW
R10,100kR,easyedapro:R0805,1,,SMT,C2907217,100kΩ ±1% 125mW
R11,1kR,easyedapro:R0805,1,,SMT,C95781,1kΩ ±1% 125mW
R12,4.7R,easyedapro:R0805,1,,SMT,C2897629,4.7Ω ±1% 2W
R13,1.000kR,easyedapro:R0805,1,,SMT,C110774,1.000kΩ ±0.1% 薄膜
R14,49.9kR,easyedapro:R0805,1,,SMT,C1730568,49.9kΩ ±0.05% 15ppm/°C
R15,1.000kR,easyedapro:R0805,1,,SMT,C110774,1.000kΩ ±0.1% 薄膜
R16,39.0kR,easyedapro:R0805,1,,SMT,C1720356,39.0kΩ ±0.1% 10ppm/°C 200mW
R17,0R,easyedapro:R0805,1,,SMT,C17477,0Ω 125mW
R18,100R,easyedapro:R0805,1,,SMT,C2988937,100Ω ±1% 125mW
R19,30.9kR,easyedapro:R0805,1,,SMT,C865394,30.9kΩ ±0.1% ≤25ppm/°C 薄膜
R20,10.0kR,easyedapro:R0805,1,,SMT,C110775,10.0kΩ ±0.1% 薄膜
R21,10.0kR,easyedapro:R0805,1,,SMT,C110775,10.0kΩ ±0.1% 薄膜
R22,10.0kR,easyedapro:R0805,1,,SMT,C110775,10.0kΩ ±0.1% 薄膜
R23,100kR,easyedapro:R0805,1,,SMT,C2907217,100kΩ ±1% 125mW
R24,10kR,easyedapro:R0805,1,,SMT,C2907219,10kΩ ±1% 125mW
R34,1.000MR,easyedapro:R0805,1,,SMT,C2075448,1.000MΩ ±0.1% 25ppm/°C
R35,10.0kR,easyedapro:R0805,1,,SMT,C110775,10.0kΩ ±0.1% ≤25ppm/°C 薄膜
R36,0R,easyedapro:R0805,1,,SMT,C17477,0Ω 125mW
R46,0R,easyedapro:R0805,1,,SMT,C17477,0Ω 125mW
RSH2,0.100R,easyedapro:AAI_C11_35_LOCAL_Footprints_AAI_SHUNT_4T_3920_Kelvin,1,,SMT,C393067,0.100Ω ±1% 3W ±50ppm/°C
U1,OPA548F/500,easyedapro:TO-263-7_L10.2-W10.4-P1.27-LS14.4-TL,1,,SMT,C527496,OPA548F/500
U2,AD633ARZ-R7,easyedapro:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,,SMT,C77810,AD633ARZ-R7
U3,INA149AIDR,easyedapro:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,,SMT,C183089,INA149AIDR
U4,OPA1656IDR,easyedapro:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,,SMT,C1849431,OPA1656IDR
U5,STM32G431CBT6,easyedapro:LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,1,,SMT,C529355,STM32G431CBT6（冻结型号）
U6,AMS1117-3.3,easyedapro:SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,,SMT,C6186,AMS1117-3.3
U7,"TLP185(GR-TPR,E",easyedapro:SOP-6_4P-L3.7-W4.6-P2.54-LS7.0-BL,1,,SMT,C393884,"TLP185(GR-TPR,E"
U8,OPA1656IDR,easyedapro:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,,SMT,C1849431,OPA1656IDR
