Ref,Val,Package,PosX,PosY,Rot,Side
"C7","100nF","C0805",167.689000,-80.850000,-90.000000,bottom
"C8","100nF","C0805",165.530000,-77.929000,0.000000,bottom
"C27","10pF","C0805",172.261000,-77.675000,90.000000,bottom
"C28","1uF","C0805",109.236500,-118.537500,90.000000,bottom
"R34","1.000MR","R0805",108.191000,-129.189000,180.000000,bottom
"R35","10.0kR","R0805",108.174500,-126.439500,0.000000,bottom
"R36","0R","R0805",112.822500,-118.740000,90.000000,bottom
"R46","0R","R0805",179.246000,-79.326000,0.000000,bottom
"C1","10uF","C0805",125.535000,-127.356500,90.000000,top
"C2","10uF","C0805",130.107000,-133.579500,-90.000000,top
"C3","100nF","C0805",132.266000,-129.261500,90.000000,top
"C4","47nF","C0805",156.005000,-92.788000,0.000000,top
"C5","470uF","CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD",176.071000,-95.328000,180.000000,top
"C6","470uF","CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD",194.105000,-76.786000,0.000000,top
"C9","100nF","C0805",127.430000,-113.997000,0.000000,top
"C10","100nF","C0805",119.685000,-121.153500,180.000000,top
"C11","1uF","C0805",109.176000,-110.244500,0.000000,top
"C12","1uF","C0805",119.651000,-123.268000,180.000000,top
"C15","100nF","C0805",121.842000,-105.361000,180.000000,top
"C16","100nF","C0805",123.924000,-121.173500,0.000000,top
"C17","10nF","C0805",134.542000,-85.646000,90.000000,top
"C18","100nF","C0805",131.240000,-107.558500,-90.000000,top
"C19","100nF","C0805",134.425000,-129.261500,90.000000,top
"C20","100nF","C0805",179.119000,-123.014000,0.000000,top
"C21","100nF","C0805",160.196000,-150.827000,0.000000,top
"C22","100nF","C0805",131.240000,-136.603000,180.000000,top
"C23","220nF","C0805",132.261000,-139.754000,-90.000000,top
"C24","4.7uF","C0805",160.196000,-152.986000,0.000000,top
"C25","1uF","C0805",134.259000,-139.754000,-90.000000,top
"C26","100nF","C0805",197.407000,-127.840000,180.000000,top
"D1","SS56B","SMB_L4.3-W3.6-LS5.4-RD",164.133000,-83.263000,-90.000000,top
"D2","SS56B","SMB_L4.3-W3.6-LS5.4-RD",159.984500,-83.263000,90.000000,top
"FB1","150R@100MHz","L0805",126.668000,-94.085500,-90.000000,top
"FB2","150R@100MHz","L0805",132.353000,-85.696000,-90.000000,top
"FB3","150R@100MHz","L0805",132.266000,-133.579500,-90.000000,top
"J1","WAGO 2060 3P","CONN-SMD_2060-453",144.575000,-60.672000,-90.000000,top
"J2","WAGO 2060 3P","CONN-SMD_2060-453",114.222000,-60.530000,-90.000000,top
"J3","WAGO 2060 2P","CONN-SMD_2060-452",98.708000,-126.443000,0.000000,top
"J4","WAGO 2060 2P","CONN-SMD_2060-452",197.534000,-111.711000,180.000000,top
"J5","WAGO 2060 3P","CONN-SMD_2060-453",128.446000,-60.530000,-90.000000,top
"J6","WAGO 2060 3P","CONN-SMD_2060-453",99.236000,-104.472000,0.000000,top
"J8","WAGO 2060 3P","CONN-SMD_2060-453",148.908000,-155.246000,90.000000,top
"J9","WAGO 2060 2P","CONN-SMD_2060-452",197.661000,-154.002000,180.000000,top
"J14","WAGO 2060 1P","CONN-SMD_L12.7-W3.9_2060-451-998-404",99.109000,-156.923000,0.000000,top
"R3","0R","R0805",138.193000,-112.473000,180.000000,top
"R4","0R","R0805",151.052000,-105.361000,-90.000000,top
"R5","100R","R0805",164.282000,-72.185000,0.000000,top
"R6","0R","R0805",164.260000,-74.246000,0.000000,top
"R7","57.6kR","R0805",165.149000,-77.167000,-90.000000,top
"R10","100kR","R0805",176.960000,-88.978000,0.000000,top
"R11","1kR","R0805",185.713000,-85.505500,180.000000,top
"R12","4.7R","R0805",155.660500,-89.359000,180.000000,top
"R13","1.000kR","R0805",113.968000,-98.503000,90.000000,top
"R14","49.9kR","R0805",111.004000,-99.429500,0.000000,top
"R15","1.000kR","R0805",128.127000,-106.504000,180.000000,top
"R16","39.0kR","R0805",129.081000,-103.583000,-90.000000,top
"R17","0R","R0805",136.847000,-88.894000,180.000000,top
"R18","100R","R0805",137.717000,-85.519000,-90.000000,top
"R19","30.9kR","R0805",134.564500,-107.420000,90.000000,top
"R20","10.0kR","R0805",131.269500,-103.614500,90.000000,top
"R21","10.0kR","R0805",134.564500,-103.614500,-90.000000,top
"R22","10.0kR","R0805",137.536500,-102.737000,180.000000,top
"R23","100kR","R0805",118.921000,-153.292000,0.000000,top
"R24","10kR","R0805",192.327000,-122.760000,-90.000000,top
"RSH2","0.100R","AAI_C11_35_LOCAL_Footprints_AAI_SHUNT_4T_3920_Kelvin",163.117000,-89.867000,0.000000,top
"U1","OPA548F/500","TO-263-7_L10.2-W10.4-P1.27-LS14.4-TL",176.960000,-76.786000,0.000000,top
"U2","AD633ARZ-R7","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",122.223000,-113.997000,0.000000,top
"U3","INA149AIDR","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",153.084000,-97.614000,90.000000,top
"U4","OPA1656IDR","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",121.588000,-99.265000,-90.000000,top
"U5","STM32G431CBT6","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL",156.377000,-127.353500,180.000000,top
"U6","AMS1117-3.3","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR",122.741000,-132.563500,0.000000,top
"U7","TLP185(GR-TPR,E","SOP-6_4P-L3.7-W4.6-P2.54-LS7.0-BL",179.246000,-84.279000,90.000000,top
"U8","OPA1656IDR","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",135.177000,-95.171000,180.000000,top
