Ref,Status,Old Value,New Value,BOM Value,LCSC Part #,Footprint,Value Changed
C1,SMT,2.2uF,10uF,10µF ±10% 25V X5R,C15850,easyedapro:C0805,YES
C2,SMT,2.2uF,10uF,10µF ±10% 25V X5R,C15850,easyedapro:C0805,YES
C3,SMT,10uF,100nF,100nF ±10% 50V X7R,C49678,easyedapro:C0805,YES
C7,SMT,100nF,100nF,100nF ±10% 50V X7R,C49678,easyedapro:C0805,NO
C8,SMT,100nF,100nF,100nF ±10% 50V X7R,C49678,easyedapro:C0805,NO
C9,SMT,100nF,100nF,100nF ±10% 50V X7R,C49678,easyedapro:C0805,NO
C10,SMT,100nF,100nF,100nF ±10% 50V X7R,C49678,easyedapro:C0805,NO
C15,SMT,100nF,100nF,100nF ±10% 50V X7R,C49678,easyedapro:C0805,NO
C16,SMT,100nF,100nF,100nF ±10% 50V X7R,C49678,easyedapro:C0805,NO
C18,SMT,10uF,100nF,100nF ±10% 50V X7R,C49678,easyedapro:C0805,YES
C19,SMT,10uF,100nF,100nF ±10% 50V X7R,C49678,easyedapro:C0805,YES
C20,SMT,220nF,100nF,100nF ±10% 50V X7R,C49678,easyedapro:C0805,YES
C21,SMT,220nF,100nF,100nF ±10% 50V X7R,C49678,easyedapro:C0805,YES
C22,SMT,220nF,100nF,100nF ±10% 50V X7R,C49678,easyedapro:C0805,YES
C26,SMT,220nF,100nF,100nF ±10% 50V X7R,C49678,easyedapro:C0805,YES
C4,SMT,10uF,47nF,47nF ±5% 50V X7R,C1845663,easyedapro:C0805,YES
C5,SMT,470uF,470uF,"470µF ±20% 35V, 105°C",C2992611,easyedapro:CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,NO
C6,SMT,470uF,470uF,"470µF ±20% 35V, 105°C",C2992611,easyedapro:CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,NO
C11,SMT,1uF,1uF,1µF ±10% 50V X7R,C344178,easyedapro:C0805,NO
C12,SMT,1uF,1uF,1µF ±10% 50V X7R,C344178,easyedapro:C0805,NO
C25,SMT,220nF,1uF,1µF ±10% 50V X7R,C344178,easyedapro:C0805,YES
C17,SMT,10uF,10nF,10nF ±5% 50V C0G,C342877,easyedapro:C0805,YES
C23,SMT,220nF,220nF,220nF ±10% 50V X7R,C45359963,easyedapro:C0805,NO
C24,SMT,220nF,4.7uF,4.7µF ±10% 16V X5R,C380342,easyedapro:C0805,YES
C27,SMT,10pF,10pF,10pF ±5% 50V C0G,C157608,easyedapro:C0805,NO
C28,SMT,100nF TRIM_LPF DNP,1uF,1µF ±10% 50V X7R,C344178,easyedapro:C0805,YES
D1,SMT,SS56,SS56B,"SS56B, 60V 5A Schottky",C14651,easyedapro:SMB_L4.3-W3.6-LS5.4-RD,YES
D2,SMT,SS56,SS56B,"SS56B, 60V 5A Schottky",C14651,easyedapro:SMB_L4.3-W3.6-LS5.4-RD,YES
FB1,SMT,MLB2012F-151T,150R@100MHz,"150Ω@100MHz, 600mA, DCR 0.25Ω",C139474,easyedapro:L0805,YES
FB2,SMT,MLB2012F-151T,150R@100MHz,"150Ω@100MHz, 600mA, DCR 0.25Ω",C139474,easyedapro:L0805,YES
FB3,SMT,MLB2012F-151T,150R@100MHz,"150Ω@100MHz, 600mA, DCR 0.25Ω",C139474,easyedapro:L0805,YES
R3,SMT,100Ω,0R,0Ω 125mW,C17477,easyedapro:R0805,YES
R4,SMT,100Ω,0R,0Ω 125mW,C17477,easyedapro:R0805,YES
R6,SMT,0Ω,0R,0Ω 125mW,C17477,easyedapro:R0805,YES
R17,SMT,1.6Ω,0R,0Ω 125mW,C17477,easyedapro:R0805,YES
R36,SMT,0R Z_GND DEFAULT,0R,0Ω 125mW,C17477,easyedapro:R0805,YES
R46,SMT,0R RISO default 0.05-0.2R option,0R,0Ω 125mW,C17477,easyedapro:R0805,YES
J1,SMT,2060-453/998-404,WAGO 2060 3P,"WAGO 2060 3P, 4mm pitch",C2765056,easyedapro:CONN-SMD_2060-453,YES
J2,SMT,2060-453/998-404,WAGO 2060 3P,"WAGO 2060 3P, 4mm pitch",C2765056,easyedapro:CONN-SMD_2060-453,YES
J5,SMT,2060-453/998-404,WAGO 2060 3P,"WAGO 2060 3P, 4mm pitch",C2765056,easyedapro:CONN-SMD_2060-453,YES
J6,SMT,2060-453/998-404,WAGO 2060 3P,"WAGO 2060 3P, 4mm pitch",C2765056,easyedapro:CONN-SMD_2060-453,YES
J8,SMT,2060-453/998-404,WAGO 2060 3P,"WAGO 2060 3P, 4mm pitch",C2765056,easyedapro:CONN-SMD_2060-453,YES
J3,SMT,2060-452/998-404,WAGO 2060 2P,"WAGO 2060 2P, 4mm pitch",C2765055,easyedapro:CONN-SMD_2060-452,YES
J4,SMT,2060-452/998-404,WAGO 2060 2P,"WAGO 2060 2P, 4mm pitch",C2765055,easyedapro:CONN-SMD_2060-452,YES
J9,SMT,FAULT bare SMT pads,WAGO 2060 2P,"WAGO 2060 2P, 4mm pitch",C2765055,easyedapro:CONN-SMD_2060-452,YES
J14,SMT,2060-451/998-404,WAGO 2060 1P,"WAGO 2060 1P, 4mm pitch",C2765054,easyedapro:CONN-SMD_L12.7-W3.9_2060-451-998-404,YES
R5,SMT,100Ω,100R,100Ω ±1% 125mW,C2988937,easyedapro:R0805,YES
R18,SMT,1.6Ω,100R,100Ω ±1% 125mW,C2988937,easyedapro:R0805,YES
R7,SMT,100Ω,57.6kR,57.6kΩ ±1% 125mW,C5153977,easyedapro:R0805,YES
R10,SMT,100Ω,100kR,100kΩ ±1% 125mW,C2907217,easyedapro:R0805,YES
R23,SMT,100K,100kR,100kΩ ±1% 125mW,C2907217,easyedapro:R0805,YES
R11,SMT,100Ω,1kR,1kΩ ±1% 125mW,C95781,easyedapro:R0805,YES
R13,SMT,1kΩ,1.000kR,1.000kΩ ±0.1% 薄膜,C110774,easyedapro:R0805,YES
R15,SMT,1kΩ,1.000kR,1.000kΩ ±0.1% 薄膜,C110774,easyedapro:R0805,YES
R14,SMT,49.9kΩ,49.9kR,49.9kΩ ±0.05% 15ppm/°C,C1730568,easyedapro:R0805,YES
R16,SMT,1kΩ,39.0kR,39.0kΩ ±0.1% 10ppm/°C 200mW,C1720356,easyedapro:R0805,YES
R19,SMT,1.6Ω,30.9kR,30.9kΩ ±0.1% ≤25ppm/°C 薄膜,C865394,easyedapro:R0805,YES
R20,SMT,1.6Ω,10.0kR,10.0kΩ ±0.1% 薄膜,C110775,easyedapro:R0805,YES
R21,SMT,1.6Ω,10.0kR,10.0kΩ ±0.1% 薄膜,C110775,easyedapro:R0805,YES
R22,SMT,1.6Ω,10.0kR,10.0kΩ ±0.1% 薄膜,C110775,easyedapro:R0805,YES
R24,SMT,2.4Ω,10kR,10kΩ ±1% 125mW,C2907219,easyedapro:R0805,YES
R34,SMT,1M ISIG_TRIM_INJ DNP,1.000MR,1.000MΩ ±0.1% 25ppm/°C,C2075448,easyedapro:R0805,YES
