
Note: Compatibility modes selected: ps


Circuit: * h07: one u4 positive-rail series element becomes high resistance.

H07 U4+ series fault; RAPS values; J2=+/-10, J1=+/-5, E/S OFF
Reset re-loads circuit * h07: one u4 positive-rail series element becomes high resistance.

Circuit: * h07: one u4 positive-rail series element becomes high resistance.

Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Warning: Dynamic gmin stepping failed
Note: Starting true gmin stepping
Warning: True gmin stepping failed
Note: Starting source stepping
Warning: source stepping failed
Note: Transient op started
Note: Transient op finished successfully

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
agnd                                         0
g3m                                3.76938e-12
pgnd                               3.59992e-12
j2p                                          0
fbp                                -0.00194941
apbead                             -0.00194616
apsm                               -0.00197391
apu4                               -0.00197387
c15tm                              -0.00197387
c15n                               -0.00197385
c11tm                              -0.00197376
c11n                               -0.00197352
j2n                                          0
fbn                                 0.00195138
anbead                              0.00194989
ansm                                0.00233962
anu4                                 0.0023395
c16tm                               0.00233951
c16n                                0.00233951
c10tm                               0.00233952
c10n                                0.00233951
c12tm                               0.00233973
c12n                                0.00233963
u4ap                                         0
u4an                               3.22108e-05
u4ao                                0.00163926
xu4a.n24458                         0.00011956
xu4a.n24659                        0.000120218
xu4a.n37029                        0.000145899
xu4a.n37037                        0.000145899
xu4a.mid                           0.000120218
xu4a.n39473                          0.0183682
xu4a.n39884                          0.0183629
xu4a.n39892                        0.000302626
xu4a.n2425309                      -0.00197387
xu4a.n2425287                      0.000120218
xu4a.n2425325                       0.00233949
xu4a.n56849                          0.0506891
xu4a.n57325                          0.0503723
xu4a.n59747                        0.000120218
xu4a.n59865                        0.000120218
xu4a.n25921                        0.000825282
xu4a.n25929                        0.000120205
xu4a.n65579                        0.000120218
xu4a.n65697                        0.000120218
xu4a.n68774                           0.318467
xu4a.n72398                         -0.0489297
xu4a.n72391                          0.0518914
xu4a.n81574                        0.000120217
xu4a.n81664                          0.0289382
xu4a.sw_ol_opa1656                     1.00012
xu4a.vclp                           0.00163955
xu4a.vimon                         0.000168816
xu4a.n27785                        0.000107869
xu4a.n27793                        0.000120216
xu4a.vout_s                         0.00163926
xu4a.n2402147                      0.000120218
xu4a.n2402155                      0.000120218
xu4a.n2707598                          2.19321
xu4a.n2707608                         0.318453
xu4a.n2516408                        0.0183647
xu4a.n2526910                         0.318453
xu4a.n36262                           0.318452
xu4a.n32347                        0.000475571
xu4a.n2532013                         0.318467
xu4a.n2549447                      0.000120216
xu4a.n2549439                      0.000120217
xu4a.clamp                            0.318467
xu4a.esdp                         -3.05364e-10
xu4a.esdn                          3.22109e-05
xu4a.n158495                        0.00163954
xu4a.cl_clamp                       0.00163954
xu4a.n161937                        0.00163926
xu4a.claw_clamp                     0.00163954
xu4a.n45999                         0.00163926
xu4a.n39124                          0.0180968
xu4a.n39920                          0.0183646
xu4a.n39417                          0.0183646
xu4a.vcc_b                         -0.00197387
xu4a.vee_b                          0.00233949
xu4a.n25415                        0.000475587
xu4a.n25397                        0.000475587
xu4a.n25248                        0.000120218
xu4a.vcc_clp                        -0.0489297
xu4a.vee_clp                         0.0518914
xu4a.n1356345                         -0.51836
xu4a.n1356333                         -0.51836
xu4a.n1356409                         0.310458
