case,returncode,R10VAL,LSRC,IESVAL,ENHIGH,tp8_pp,tp8_rms,f_dom_hz,es_min,es_max,state_min,state_max,state_crossings,TON,TOFF,EN_DELAY,EN_WIDTH,GND_L
r10_100k_lsrc_0.2u,0,100k,0.2u,70u,0,2.40446897e-09,1.769215128251941e-10,425000.0,3.5003599199999993,3.5003658800000004,0.960551085,0.999996994,0,,,,,
r10_100k_lsrc_1u,0,100k,1u,70u,0,1.2530779110000001e-09,9.26330698735325e-11,425000.0,3.5003599199999993,3.5003741,0.958479749,0.999996994,0,,,,,
r10_100k_lsrc_3u,0,100k,3u,70u,0,1.075378641e-09,7.95325007573464e-11,425000.0,3.5003599199999993,3.50037497,0.957873623,0.999996994,0,,,,,
r10_100k_lsrc_10u,0,100k,10u,70u,0,1.1032001890000002e-09,8.070539188740237e-11,425000.0,3.5003597799999997,3.5003676,0.957613433,0.999996994,0,,,,,
r10_6.8k_lsrc_0.2u,0,6.8k,0.2u,70u,0,5.1358366877999996e-11,1.2390511437932905e-11,10000.0,0.4827971499999997,0.4867988000000001,0.0,0.0,0,,,,,
r10_6.8k_lsrc_1u,0,6.8k,1u,70u,0,4.8970277492e-11,1.1708229678636426e-11,10000.0,0.48279705999999933,0.4925592299999999,0.0,0.0,0,,,,,
r10_6.8k_lsrc_3u,0,6.8k,3u,70u,0,4.14256894627e-11,9.611832921784638e-12,10000.0,0.4827969000000003,0.494341923,0.0,0.0,0,,,,,
r10_6.8k_lsrc_10u,0,6.8k,10u,70u,0,3.7003137038e-11,1.2580128138041758e-11,10000.0,0.4826961099999991,0.488496591,0.0,0.0,0,,,,,
r10_100k_ies_6u,0,100k,1u,6u,0,4.8969238162e-11,1.1708252356588335e-11,10000.0,0.6999351199999992,0.873281669,0.0,0.0,0,,,,,
r10_100k_ies_20u,0,100k,1u,20u,0,1.2538946540000001e-09,9.272506948563191e-11,425000.0,2.09979472,2.273083453,0.644900151,0.645546665,0,,,,,
r10_100k_ies_40u,0,100k,1u,40u,0,1.253094988e-09,9.263405772584078e-11,425000.0,3.50005995,3.50007407,0.952402007,0.999996994,0,,,,,
r10_100k_ies_70u,0,100k,1u,70u,0,1.2530779110000001e-09,9.26330698735325e-11,425000.0,3.5003599199999993,3.5003741,0.958479749,0.999996994,0,,,,,
timing_on_1u_off_1u,0,100k,1u,70u,0,1.239410194e-09,9.161749451212568e-11,425000.0,3.5003599199999993,3.50037441,0.999927945,0.999998998,0,1u,1u,,,
timing_on_3u_off_1u,0,100k,1u,70u,0,1.2530779110000001e-09,9.26330698735325e-11,425000.0,3.5003599199999993,3.5003741,0.958479749,0.999996994,0,3u,1u,,,
timing_on_5u_off_2u,0,100k,1u,70u,0,1.253170921e-09,9.264025555570605e-11,425000.0,3.5003599199999993,3.50037412,0.851750081,0.99999499,0,5u,2u,,,
timing_on_10u_off_3u,0,100k,1u,70u,0,1.0597767700000001e-09,7.841561534453973e-11,425000.0,3.5003599199999993,3.5003747,0.614959473,0.99998998,0,10u,3u,,,
enpulse_r10_100k_lsrc_1u,0,100k,1u,70u,3.3,1.257372818e-09,9.286319873881574e-11,425000.0,3.5003599199999993,3.5211636310000003,0.958479749,0.999996994,0,,,100u,100u,
enpulse_r10_100k_lsrc_3u,0,100k,3u,70u,3.3,1.080514051e-09,7.985413060416752e-11,425000.0,3.5003599199999993,3.5211636370000003,0.957873623,0.999996994,0,,,100u,100u,
enpulse_r10_6.8k_lsrc_1u,0,6.8k,1u,70u,3.3,4.8055514164e-11,1.1444457625343086e-11,10000.0,0.4827970500000003,3.516347247,0.0,0.999996994,2,,,100u,100u,
enpulse_r10_6.8k_lsrc_3u,0,6.8k,3u,70u,3.3,4.06109846744e-11,9.367799688315239e-12,10000.0,0.4827968999999994,3.5163472559999995,0.0,0.999996994,2,,,100u,100u,
gndL_2n,0,100k,3u,70u,0,1.075378641e-09,7.95325007573464e-11,425000.0,3.5003599199999993,3.50037497,0.957873623,0.999996994,0,,,,,2n
gndL_10n,0,100k,3u,70u,0,1.07532758e-09,7.953564595171956e-11,425000.0,3.5003599199999993,3.5003749600000003,0.957873524,0.999996994,0,,,,,10n
gndL_50n,0,100k,3u,70u,0,1.0764814239999999e-09,7.958212874522794e-11,425000.0,3.5003599199999993,3.50037498,0.957874016,0.999996994,0,,,,,50n
